VMName,Host,vCPUs,RAM,Storage,Used,Available,VM Installed On,OS
TA-V4DB-2.146,C2-BLD02-CXS-22,2,5,150,131,9.3,Install Date: Wed 23 Mar 2016, Red Hat Enterprise Linux Server release 6.6 (Santiago)
DA-APPSTAGING-1.48,C2-BLD03-CXS-23,4,14,100,48,46,Install Date: Tue 12 Dec 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
SE-LOADTESTDB-2.202,C2-BLD12-CXS-32,8,16,250,43,88,Install Date: Wed 31 Aug 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
NATIONAL-MONITORING-3.19,,0,6,200,,,,
FZ-DB-3.11,C2-BLD08-CXS-28,6,12,200,185,2.4,Install Date: Fri 13 May 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
FC-PLURA-1.181,C2-BLD04-CXS-24,4,12,200,,,,
JOOMLA-TEST-2.86,,2,7,80,,,, Red Hat Enterprise Linux Server release 6.9 (Santiago)
EK-APP-3.20,C2-BLD03-CXS-23,6,8,100,86,0,Install Date: Fri 17 Nov 2017,
RCCL-QA-1.166,C2-BLD12-CXS-32,3,7,120,16,92,Install Date: Wed 09 Apr 2014, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-LTAPP-2.74,C2-BLD02-CXS-22,6,14,230,75,51,Install Date: Wed 18 Nov 2015, Red Hat Enterprise Linux Server release 6.6 (Santiago)
RCCL-QA-1.161,C2-BLD14-CXS-34,3,8,100,36,52,Install Date: Tue 20 May 2014, Red Hat Enterprise Linux Server release 6.3 (Santiago)
YAS-EC-1.28,C2-BLD10-CXS-30,4,10,80,13,59,Install Date: Thu 01 Feb 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-R2API-2.70,C2-BLD08-CXS-28,6,18,166,101,32,Install Date: Thu 25 Aug 2016, Red Hat Enterprise Linux Server release 6.8 (Santiago)
ITD-RUNDECK-1.9,C2-BLD08-CXS-28,4,4,200,,,, CentOS Linux release 7.2.1511 (Core)
DSN-R2API-2.206,C2-BLD08-CXS-28,6,16,166,100,33,Install Date: Thu 25 Aug 2016, Red Hat Enterprise Linux Server release 6.8 (Santiago)
CV-DBCOPY-1.65,C2-BLD04-CXS-24,4,18,200,175,14,Install Date: Fri 04 Dec 2015, Red Hat Enterprise Linux Server release 6.6 (Santiago)
COMMON-TESTLINK-2.39,,0,6,100,87,2.7,Install Date: Tue 25 Aug 2015,
FDM-QADB-0.8,C2-BLD08-CXS-28,4,8,250,207,18,Install Date: Fri 13 May 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
CV-WEB-2.99,C2-BLD03-CXS-23,2,15,120,106,8.6,, Red Hat Enterprise Linux Server release 6.6 (Santiago)
KUONI-DB-2.181,C2-BLD02-CXS-22,6,12,500,52,408,Install Date: Fri 27 Jan 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
CG-QSMART-4.45,C2-BLD08-CXS-28,2,8,200,5.8,177,Install Date: Mon 07 Oct 2019,
DSN-REGAPP-2.78,C2-BLD12-CXS-32,4,12,120,77,29,Install Date: Wed 18 Nov 2015, Red Hat Enterprise Linux Server release 6.6 (Santiago)
ARC-APP-1.160,,0,18,150,,,, Red Hat Enterprise Linux Server release 6.3 (Santiago)
ITD-EMCESRS-2.64,C2-BLD10-CXS-30,4,3,40,,,,
YAS-ES-1.106,C2-BLD02-CXS-22,4,10,80,5.1,66,Install Date: Mon 19 Feb 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
VH-DB-3.54,,0,8,0,335,125,Install Date: Fri 27 Jan 2017,
TBXSURF-ELASTICSEARCH-2.184,C2-BLD04-CXS-24,3,6,100,38,55,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-DLPQAHAZELCAST2-2.235,C2-BLD14-CXS-34,6,23,100,14,72,Install Date: Mon 09 Jul 2018, Red Hat Enterprise Linux Server release 7.0 (Maipo)
DSN-ORACLERAC-2.200,C2-BLD14-CXS-34,12,32,400,28,10,Install Date: Mon 07 Dec 2015, Red Hat Enterprise Linux Server release 6.6 (Santiago)
VH-GRAFANA-4.223,,0,4,100,4.0,86,Install Date: Mon 14 Oct 2019,
CV-WEB-3.29,,3,8,100,,,, Red Hat Enterprise Linux Server release 6.3 (Santiago)
YAS-JENKINS-1.226,C2-BLD10-CXS-30,6,8,200,160,26,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
EVALP-SALON-3.39,,2,8,60,,,, CentOS release 6.2 (Final)
DEMO-APP-3.60,,6,8,350,,,, CentOS release 6.2 (Final)
TA-DB-1.182,C2-BLD10-CXS-30,4,10,200,107,73,Install Date: Fri 17 Feb 2017, Red Hat Enterprise Linux Server release 6.6 (Santiago)
DSN-DB-2.3,,0,15,350,215,253,Install Date: Mon 11 Jun 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
COMMON-QAAUTO-1.203,C2-BLD03-CXS-23,2,6,50,12,31,Install Date: Thu 19 Apr 2018, CentOS release 6.5 (Final)
DSN-GIMQADB-2.56,C2-BLD03-CXS-23,4,12,80,54,18,Install Date: Mon 11 Jun 2018,
ITD-EKSSLTEST,C2-BLD14-CXS-34,1,4,50,,,,
Control domain on host: C2-BLD10-CXS-30,C2-BLD10-CXS-30,0,4,0,,,,
