VMName,Host,vCPUs,RAM,Storage,Used,Available,VM Installed On,OS
DSN-R2API-2.208,C2-BLD08-CXS-28,6,16,166,129,3.4,Install Date: Thu 25 Aug 2016, Red Hat Enterprise Linux Server release 6.8 (Santiago)
EK-APP-1.25,C2-BLD14-CXS-34,4,8,80,71,0,Install Date: Sun 09 Jun 2013, CentOS release 6.2 (Final)
TBX-CLOUDWEB-2.124,C2-BLD12-CXS-32,3,5,100,60,32,Install Date: Mon 20 Jun 2016, CentOS Linux release 7.3.1611 (Core)
ARC-KUONIAPP-1.129,C2-BLD08-CXS-28,6,10,150,32,101,Install Date: Mon 19 Feb 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
SE-LBAPP-1.224,C2-BLD12-CXS-32,9,60,200,165,31,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.6 (Santiago)
CG-DATAMASK-4.70,C2-BLD10-CXS-30,2,2,100,6.2,85,Install Date: Thu 30 Jan 2020, CentOS Linux release 7.1.1503 (Core)
VH-DB-1.188,C2-BLD04-CXS-24,4,16,500,413,45,Install Date: Fri 13 May 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-TOMCAT-2.240,C2-BLD02-CXS-22,4,6,75,19,44,Install Date: Thu 05 Apr 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-R2BQAAPP-1.22,C2-BLD14-CXS-34,4,18,150,98,41,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
CCS-DB-3.42,,2,7,300,,,, Red Hat Enterprise Linux Server release 6.3 (Santiago)
GOWAY-AUTOMATION-0.169,,6,8,80,,,,
Control domain on host: C2-BLD13-CXS-33,C2-BLD13-CXS-33,0,4,0,,,,
DSN-TICKETINGPOS-2.58,,0,12,250,,,, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-MONITORING-2.161,C2-BLD04-CXS-24,6,6,80,44,5.9,Install Date: Mon 19 Jun 2017, CentOS Linux release 7.3.1611 (Core)
ARC-WASP-1.141,C2-BLD03-CXS-23,2,6,270,215,43,Install Date: Thu 28 Jan 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-DLPQAHAZELCAST1-2.232,C2-BLD08-CXS-28,6,22,100,11,79,Install Date: Tue 10 Jul 2018,
FZ-B2BB2C02-1.159,C2-BLD10-CXS-30,3,7,100,3.5,87,Install Date: Mon 11 Jun 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
Control domain on host: C2-BLD02-CXS-22,C2-BLD02-CXS-22,0,4,0,,,,
KUONI-APP-2.171,C2-BLD13-CXS-33,8,20,150,51,86,Install Date: Mon 09 Jan 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-GRINDER-2.204,C2-BLD04-CXS-24,6,11,60,20,33,Install Date: Tue 05 May 2015, CentOS release 6.2 (Final)
CV-DB-2.9,C2-BLD13-CXS-33,8,8,250,222,15,Install Date: Tue 29 Sep 2015,
EK-DB-1.119-New,C2-BLD08-CXS-28,4,8,150,128,4.9,Install Date: Fri 27 Jan 2017,
CCS-JENKINS-2.27,,3,8,220,,,, CentOS release 6.2 (Final)
DSN-API-1.243,C2-BLD13-CXS-33,4,8,150,29,107,Install Date: Thu 20 Sep 2018, Red Hat Enterprise Linux Server release 7.3 (Maipo)
KUONI-DB-1.180,C2-BLD14-CXS-34,2,8,280,49,204,Install Date: Fri 13 May 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
BI-TEST-2.230,C2-BLD04-CXS-24,4,8,60,,,,
TBXSURF-APP-3.53,C2-BLD03-CXS-23,3,8,80,8.1,65,Install Date: Tue 14 Jun 2016,
DSN-DB-3.6,,4,8,180,,,, Red Hat Enterprise Linux Server release 6.3 (Santiago)
VH-BACKUPDB-4.238,C2-BLD02-CXS-22,6,16,600,17,536,Install Date: Thu 19 Dec 2019,
DSN-DLPQALOADING-2.223,C2-BLD04-CXS-24,6,14,150,110,24,Install Date: Mon 09 Jul 2018, Red Hat Enterprise Linux Server release 7.0 (Maipo)
FZ-DB-2.162,C2-BLD14-CXS-34,2,8,200,179,749M,Install Date: Thu 13 Sep 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
FZ-BACKUPDB-4.178,C2-BLD02-CXS-22,2,8,200,103,77,Install Date: Fri 27 Jan 2017,
RCCL-DB-1.81,C2-BLD13-CXS-33,2,8,200,185,4.2,Install Date: Fri 28 Jun 2013, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-VLDTN-1.115,C2-BLD08-CXS-28,16,18,200,168,16,Install Date: Mon 19 Feb 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
YAS-EC-1.41,C2-BLD10-CXS-30,4,10,80,71,19M,Install Date: Thu 01 Feb 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
R&D-DOCKER-2.249,C2-BLD10-CXS-30,2,4,100,4.7,82,Install Date: Thu 05 Apr 2018,
DSN-DLPQADB-2.239,C2-BLD12-CXS-32,8,16,450,242,179,Install Date: Mon 11 Jun 2018, Red Hat Enterprise Linux Server release 7.3 (Maipo)
TBXSURF-ELASTICSEARCH-2.185,C2-BLD04-CXS-24,4,6,100,30,63,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
FZ-B2BB2C01-1.158,C2-BLD10-CXS-30,3,8,100,15,75,Install Date: Mon 11 Jun 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
ITD-KHALI-2.122,,0,2,30,,,,
DSN-GRINDER-2.85,C2-BLD04-CXS-24,6,10,60,46,2.5,Install Date: Mon 18 Jun 2018,
FDM-APP-2.11,C2-BLD03-CXS-23,4,10,200,152,28,Install Date: Mon 16 Mar 2015, Red Hat Enterprise Linux Server release 6.3 (Santiago)
FZ-SECTEST-2.157,C2-BLD02-CXS-22,2,4,75,,,, CentOS Linux release 7.4.1708 (Core)
RCCL-SURFES-1.207,C2-BLD10-CXS-30,4,5,70,4.3,59,Install Date: Tue 19 Sep 2017, CentOS release 6.2 (Final)
RCCL-WEB-1.46,,4,4,30,,,,
TC-APP-2.129,C2-BLD04-CXS-24,4,13,100,,,,
FDM-DEMO-2.83,C2-BLD04-CXS-24,4,2,100,86,0,Install Date: Wed 21 Mar 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
VH-DB-2.133,C2-BLD02-CXS-22,6,15,590,397,176,Install Date: Tue 01 Mar 2016, CentOS release 6.2 (Final)
CURRYMUCH-RMS-4.154,C2-BLD14-CXS-34,2,6,50,4.7,36,,
DSN-R2API-2.71,C2-BLD02-CXS-22,6,16,216,21,159,Install Date: Thu 25 Aug 2016, Red Hat Enterprise Linux Server release 6.8 (Santiago)
FDM-LBAPP-2.97,C2-BLD02-CXS-22,12,18,300,123,169,Install Date: Mon 30 Nov 2015, Red Hat Enterprise Linux Server release 6.3 (Santiago)
COMMON-WEBSTORM-2.190,C2-BLD02-CXS-22,4,4,80,5.2,66,Install Date: Fri 13 May 2016, CentOS release 6.2 (Final)
TBXSURF-ELASTICSEARCH-2.182,C2-BLD03-CXS-23,3,6,100,12,80,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
ARC-APP-2.192,C2-BLD13-CXS-33,8,21,150,95,43,Install Date: Mon 09 Jan 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
ARC-DB-3.26,C2-BLD04-CXS-24,3,12,200,177,2.6,Install Date: Mon 09 Jan 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
ARC-DB-2.173-OLD,,0,12,200,141,40,Install Date: Fri 27 Jan 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
VH-APP-3.62,C2-BLD12-CXS-32,3,24,200,158,26,Install Date: Fri 13 May 2016, CentOS release 6.2 (Final)
Control domain on host: C2-BLD04-CXS-24,C2-BLD04-CXS-24,0,4,0,,,,
SUPP-OKM-2.140,C2-BLD04-CXS-24,1,10,100,17,26,Install Date: Thu 22 Aug 2019,
DAQA-APP-1.86,C2-BLD03-CXS-23,2,12,120,83,26,Install Date: Wed 22 Aug 2018, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-ORACLERAC-2.201,C2-BLD12-CXS-32,12,32,400,12,27,Install Date: Mon 07 Dec 2015, Red Hat Enterprise Linux Server release 6.6 (Santiago)
QA-TraineeEnvAPP-4.214,C2-BLD04-CXS-24,4,10,100,50,42,Install Date: Thu 05 Sep 2019,
TBXSURF-APP-3.55,C2-BLD03-CXS-23,3,8,80,5.2,68,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-DLPQAAPI-2.227,C2-BLD04-CXS-24,6,16,150,11,122,Install Date: Mon 09 Jul 2018, Red Hat Enterprise Linux Server release 7.0 (Maipo)
